trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,fees,gross_pnl,net_pnl,return_pct,exit_date,cumulative_pnl,equity,peak_equity,drawdown,drawdown_pct
AAPL-0335,AAPL,long,2015-09-23T00:00:00,2015-09-30T00:00:00,114.3200,110.3000,8.7474,0.5000,-35.1645,-35.6645,-0.0036,2015-09-30,-389.7343,9610.2657,10019.1703,-408.9046,-0.0408
AAPL-0340,AAPL,long,2015-09-30T00:00:00,2015-10-07T00:00:00,110.3000,110.7800,9.0662,0.5000,4.3518,3.8518,0.0004,2015-10-07,-385.8825,9614.1175,10019.1703,-405.0528,-0.0404
AAPL-0345,AAPL,short,2015-10-07T00:00:00,2015-10-14T00:00:00,110.7800,110.2100,9.0269,0.5000,5.1453,4.6453,0.0005,2015-10-14,-381.2372,9618.7628,10019.1703,-400.4075,-0.0400
AAPL-0350,AAPL,short,2015-10-14T00:00:00,2015-10-21T00:00:00,110.2100,113.7600,9.0736,0.5000,-32.2112,-32.7112,-0.0033,2015-10-21,-413.9484,9586.0516,10019.1703,-433.1187,-0.0432
AAPL-0355,AAPL,long,2015-10-21T00:00:00,2015-10-28T00:00:00,113.7600,119.2700,8.7904,0.5000,48.4353,47.9353,0.0048,2015-10-28,-366.0131,9633.9869,10019.1703,-385.1834,-0.0384
AAPL-0360,AAPL,long,2015-10-28T00:00:00,2015-11-04T00:00:00,119.2700,122.0000,8.3843,0.5000,22.8892,22.3892,0.0022,2015-11-04,-343.6238,9656.3762,10019.1703,-362.7942,-0.0362
AAPL-0365,AAPL,long,2015-11-04T00:00:00,2015-11-11T00:00:00,122.0000,116.1100,8.1967,0.5000,-48.2787,-48.7787,-0.0049,2015-11-11,-392.4025,9607.5975,10019.1703,-411.5728,-0.0411
AAPL-0370,AAPL,long,2015-11-11T00:00:00,2015-11-18T00:00:00,116.1100,117.2900,8.6125,0.5000,10.1628,9.6628,0.0010,2015-11-18,-382.7397,9617.2603,10019.1703,-401.9101,-0.0401
AAPL-0375,AAPL,short,2015-11-18T00:00:00,2015-11-25T00:00:00,117.2900,118.0300,8.5259,0.5000,-6.3092,-6.8092,-0.0007,2015-11-25,-389.5489,9610.4511,10019.1703,-408.7192,-0.0408
AAPL-0380,AAPL,short,2015-11-25T00:00:00,2015-12-03T00:00:00,118.0300,115.2000,8.4724,0.5000,23.9769,23.4769,0.0023,2015-12-03,-366.0719,9633.9281,10019.1703,-385.2423,-0.0385
AAPL-0385,AAPL,short,2015-12-03T00:00:00,2015-12-10T00:00:00,115.2000,116.1700,8.6806,0.5000,-8.4201,-8.9201,-0.0009,2015-12-10,-374.9921,9625.0079,10019.1703,-394.1624,-0.0393
AAPL-0390,AAPL,long,2015-12-10T00:00:00,2015-12-17T00:00:00,116.1700,108.9800,8.6081,0.5000,-61.8920,-62.3920,-0.0062,2015-12-17,-437.3841,9562.6159,10019.1703,-456.5544,-0.0456
AAPL-0395,AAPL,short,2015-12-17T00:00:00,2015-12-24T00:00:00,108.9800,108.0300,9.1760,0.5000,8.7172,8.2172,0.0008,2015-12-24,-429.1669,9570.8331,10019.1703,-448.3372,-0.0447
AAPL-0400,AAPL,short,2015-12-24T00:00:00,2016-01-04T00:00:00,108.0300,105.3500,9.2567,0.5000,24.8079,24.3079,0.0024,2016-01-04,-404.8590,9595.1410,10019.1703,-424.0293,-0.0423
AAPL-0405,AAPL,short,2016-01-04T00:00:00,2016-01-11T00:00:00,105.3500,98.5300,9.4922,0.5000,64.7366,64.2366,0.0064,2016-01-11,-340.6224,9659.3776,10019.1703,-359.7927,-0.0359
AAPL-0410,AAPL,short,2016-01-11T00:00:00,2016-01-19T00:00:00,98.5300,96.6600,10.1492,0.5000,18.9790,18.4790,0.0018,2016-01-19,-322.1434,9677.8566,10019.1703,-341.3137,-0.0341
AAPL-0415,AAPL,short,2016-01-19T00:00:00,2016-01-26T00:00:00,96.6600,99.9900,10.3455,0.5000,-34.4506,-34.9506,-0.0035,2016-01-26,-357.0940,9642.9060,10019.1703,-376.2644,-0.0376
AAPL-0420,AAPL,short,2016-01-26T00:00:00,2016-02-02T00:00:00,99.9900,94.4800,10.0010,0.5000,55.1055,54.6055,0.0055,2016-02-02,-302.4885,9697.5115,10019.1703,-321.6589,-0.0321
AAPL-0425,AAPL,short,2016-02-02T00:00:00,2016-02-09T00:00:00,94.4800,94.9900,10.5843,0.5000,-5.3980,-5.8980,-0.0006,2016-02-09,-308.3865,9691.6135,10019.1703,-327.5568,-0.0327
AAPL-0430,AAPL,short,2016-02-09T00:00:00,2016-02-17T00:00:00,94.9900,98.1200,10.5274,0.5000,-32.9508,-33.4508,-0.0033,2016-02-17,-341.8373,9658.1627,10019.1703,-361.0076,-0.0360
AAPL-0435,AAPL,short,2016-02-17T00:00:00,2016-02-24T00:00:00,98.1200,96.1000,10.1916,0.5000,20.5870,20.0870,0.0020,2016-02-24,-321.7503,9678.2497,10019.1703,-340.9206,-0.0340
AAPL-0440,AAPL,long,2016-02-24T00:00:00,2016-03-02T00:00:00,96.1000,100.7500,10.4058,0.5000,48.3871,47.8871,0.0048,2016-03-02,-273.8632,9726.1368,10019.1703,-293.0335,-0.0292
AAPL-0445,AAPL,long,2016-03-02T00:00:00,2016-03-09T00:00:00,100.7500,101.1200,9.9256,0.5000,3.6725,3.1725,0.0003,2016-03-09,-270.6907,9729.3093,10019.1703,-289.8611,-0.0289
AAPL-0450,AAPL,long,2016-03-09T00:00:00,2016-03-16T00:00:00,101.1200,105.9700,9.8892,0.5000,47.9628,47.4628,0.0047,2016-03-16,-223.2279,9776.7721,10019.1703,-242.3982,-0.0242
AAPL-0455,AAPL,long,2016-03-16T00:00:00,2016-03-23T00:00:00,105.9700,106.1300,9.4366,0.5000,1.5099,1.0099,0.0001,2016-03-23,-222.2180,9777.7820,10019.1703,-241.3884,-0.0241
AAPL-0460,AAPL,long,2016-03-23T00:00:00,2016-03-31T00:00:00,106.1300,108.9900,9.4224,0.5000,26.9481,26.4481,0.0026,2016-03-31,-195.7700,9804.2300,10019.1703,-214.9403,-0.0215
AAPL-0465,AAPL,long,2016-03-31T00:00:00,2016-04-07T00:00:00,108.9900,108.5400,9.1752,0.5000,-4.1288,-4.6288,-0.0005,2016-04-07,-200.3988,9799.6012,10019.1703,-219.5691,-0.0219
AAPL-0470,AAPL,long,2016-04-07T00:00:00,2016-04-14T00:00:00,108.5400,112.1000,9.2132,0.5000,32.7990,32.2990,0.0032,2016-04-14,-168.0998,9831.9002,10019.1703,-187.2701,-0.0187
AAPL-0475,AAPL,long,2016-04-14T00:00:00,2016-04-21T00:00:00,112.1000,105.9700,8.9206,0.5000,-54.6833,-55.1833,-0.0055,2016-04-21,-223.2832,9776.7168,10019.1703,-242.4535,-0.0242
AAPL-0480,AAPL,long,2016-04-21T00:00:00,2016-04-28T00:00:00,105.9700,94.8300,9.4366,0.5000,-105.1241,-105.6241,-0.0106,2016-04-28,-328.9072,9671.0928,10019.1703,-348.0775,-0.0347
AAPL-0485,AAPL,short,2016-04-28T00:00:00,2016-05-05T00:00:00,94.8300,93.2400,10.5452,0.5000,16.7669,16.2669,0.0016,2016-05-05,-312.6404,9687.3596,10019.1703,-331.8107,-0.0331
AAPL-0490,AAPL,short,2016-05-05T00:00:00,2016-05-12T00:00:00,93.2400,90.3400,10.7250,0.5000,31.1025,30.6025,0.0031,2016-05-12,-282.0378,9717.9622,10019.1703,-301.2082,-0.0301
AAPL-0495,AAPL,short,2016-05-12T00:00:00,2016-05-19T00:00:00,90.3400,94.2000,11.0693,0.5000,-42.7275,-43.2275,-0.0043,2016-05-19,-325.2653,9674.7347,10019.1703,-344.4356,-0.0344
AAPL-0500,AAPL,short,2016-05-19T00:00:00,2016-05-26T00:00:00,94.2000,100.4100,10.6157,0.5000,-65.9236,-66.4236,-0.0066,2016-05-26,-391.6888,9608.3112,10019.1703,-410.8592,-0.0410
AAPL-0505,AAPL,long,2016-05-26T00:00:00,2016-06-03T00:00:00,100.4100,97.9200,9.9592,0.5000,-24.7983,-25.2983,-0.0025,2016-06-03,-416.9872,9583.0128,10019.1703,-436.1575,-0.0435
AAPL-0510,AAPL,long,2016-06-03T00:00:00,2016-06-10T00:00:00,97.9200,98.8300,10.2124,0.5000,9.2933,8.7933,0.0009,2016-06-10,-408.1939,9591.8061,10019.1703,-427.3642,-0.0427
AAPL-0515,AAPL,long,2016-06-10T00:00:00,2016-06-17T00:00:00,98.8300,95.3300,10.1184,0.5000,-35.4143,-35.9143,-0.0036,2016-06-17,-444.1082,9555.8918,10019.1703,-463.2785,-0.0462
AAPL-0520,AAPL,short,2016-06-17T00:00:00,2016-06-24T00:00:00,95.3300,93.4000,10.4899,0.5000,20.2455,19.7455,0.0020,2016-06-24,-424.3627,9575.6373,10019.1703,-443.5331,-0.0443
AAPL-0525,AAPL,short,2016-06-24T00:00:00,2016-07-01T00:00:00,93.4000,95.8900,10.7066,0.5000,-26.6595,-27.1595,-0.0027,2016-07-01,-451.5223,9548.4777,10019.1703,-470.6926,-0.0470
AAPL-0530,AAPL,short,2016-07-01T00:00:00,2016-07-11T00:00:00,95.8900,96.9800,10.4286,0.5000,-11.3672,-11.8672,-0.0012,2016-07-11,-463.3895,9536.6105,10019.1703,-482.5598,-0.0482
AAPL-0535,AAPL,short,2016-07-11T00:00:00,2016-07-18T00:00:00,96.9800,99.8300,10.3114,0.5000,-29.3875,-29.8875,-0.0030,2016-07-18,-493.2770,9506.7230,10019.1703,-512.4473,-0.0511
AAPL-0540,AAPL,long,2016-07-18T00:00:00,2016-07-25T00:00:00,99.8300,97.3400,10.0170,0.5000,-24.9424,-25.4424,-0.0025,2016-07-25,-518.7194,9481.2806,10019.1703,-537.8897,-0.0537
AAPL-0545,AAPL,long,2016-07-25T00:00:00,2016-08-01T00:00:00,97.3400,106.0500,10.2733,0.5000,89.4802,88.9802,0.0089,2016-08-01,-429.7392,9570.2608,10019.1703,-448.9095,-0.0448
AAPL-0550,AAPL,long,2016-08-01T00:00:00,2016-08-08T00:00:00,106.0500,108.3700,9.4295,0.5000,21.8765,21.3765,0.0021,2016-08-08,-408.3627,9591.6373,10019.1703,-427.5331,-0.0427
AAPL-0555,AAPL,long,2016-08-08T00:00:00,2016-08-15T00:00:00,108.3700,109.4800,9.2277,0.5000,10.2427,9.7427,0.0010,2016-08-15,-398.6200,9601.3800,10019.1703,-417.7904,-0.0417
AAPL-0560,AAPL,long,2016-08-15T00:00:00,2016-08-22T00:00:00,109.4800,108.5100,9.1341,0.5000,-8.8601,-9.3601,-0.0009,2016-08-22,-407.9801,9592.0199,10019.1703,-427.1504,-0.0426
AAPL-0565,AAPL,long,2016-08-22T00:00:00,2016-08-29T00:00:00,108.5100,106.8200,9.2157,0.5000,-15.5746,-16.0746,-0.0016,2016-08-29,-424.0547,9575.9453,10019.1703,-443.2250,-0.0442
